X,0,1
O,1,2
X,0,2
O,0,0
X,1,1
O,2,2
X,2,1
X,0,1
O,2,0
X,0,0
O,1,1
X,1,2
O,0,2
Winner,O
X,0,0
O,0,1
X,1,1
O,2,2
X,0,2
O,1,0
X,1,2
O,2,0
X,2,1
Draw
X,1,1
O,2,0
X,2,1
O,0,1
X,0,0
O,1,0
X,2,2
Winner,X
X,0,0
O,2,0
X,1,1
O,1,2
X,2,2
Winner,X
X,1,2
O,2,0
X,0,1
O,0,0
X,2,1
O,0,2
X,1,1
Winner,X
X,2,1
O,2,0
X,2,2
O,1,0
X,0,2
O,0,1
X,0,0
O,1,1
X,1,2
Winner,X
X,0,0
O,0,2
X,1,1
O,1,2
X,2,2
Winner,X
X,1,2
O,0,2
X,2,1
O,0,0
X,1,1
O,2,2
X,0,1
Winner,X
X,1,1
O,0,2
X,2,1
O,2,0
X,0,1
Winner,X
X,0,0
O,1,1
X,2,2
O,1,0
X,1,2
O,0,2
X,2,0
O,0,1
X,2,1
Winner,X
X,0,1
O,1,2
X,0,2
O,0,0
X,2,0
O,1,1
X,2,2
O,2,1
X,1,0
Draw
X,0,0
O,0,1
X,1,1
O,2,1
X,2,2
Winner,X
X,1,1
O,0,0
X,2,0
O,1,0
X,1,2
O,0,1
X,2,1
O,0,2
Winner,O
X,0,1
O,1,1
X,0,2
O,2,0
X,1,2
O,2,1
X,1,0
O,0,0
X,2,2
Winner,X
